               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10014,            0.021311,            0.029916,             0.87176,             0.20365,             0.23194,            0.097905,            0.086534,            0.030322,            0.021326,            0.070001,           0.0033332,           0.0033332
                   1,            0.078534,             0.02246,            0.018566,             0.48484,             0.30568,              0.3138,             0.14737,            0.079505,            0.030483,            0.018861,            0.039058,           0.0057237,           0.0057237
                   2,            0.073317,            0.022553,             0.01681,             0.59209,              0.3549,             0.37811,             0.17886,            0.075759,            0.030413,            0.017203,           0.0071725,           0.0071713,           0.0071713
                   3,            0.066766,            0.022618,            0.014824,             0.63942,             0.38086,             0.41109,             0.20879,            0.071791,             0.02992,            0.015496,           0.0057571,           0.0057571,           0.0057571
                   4,            0.063372,            0.022301,            0.013903,             0.67444,             0.40202,             0.43252,              0.2239,            0.070023,            0.029701,            0.014989,           0.0057571,           0.0057571,           0.0057571
                   5,            0.058815,            0.022168,            0.012906,             0.70653,             0.41015,             0.44708,             0.23304,             0.06838,            0.029098,            0.014186,           0.0043429,           0.0043429,           0.0043429
                   6,            0.055028,            0.021641,            0.012238,             0.70112,              0.4223,             0.45979,             0.24247,            0.067225,            0.029111,              0.0139,           0.0029286,           0.0029286,           0.0029286
