               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12369,            0.020087,            0.034238,             0.56561,             0.13983,            0.039259,           0.0088023,            0.088389,            0.012222,             0.02301,             0.07001,           0.0033323,           0.0033323
                   1,            0.095017,              0.0205,            0.027149,             0.65299,             0.18953,             0.10027,            0.021281,            0.078747,            0.012083,            0.017444,            0.039906,           0.0065625,           0.0065625
                   2,             0.09046,            0.020206,            0.018957,             0.74448,             0.23663,             0.19345,            0.048468,            0.073644,            0.012086,           0.0092874,           0.0097002,           0.0096896,           0.0096896
                   3,            0.084197,            0.020401,            0.014672,             0.76306,             0.24214,             0.21708,            0.056124,            0.068583,             0.01234,           0.0081997,           0.0095359,           0.0095359,           0.0095359
                   4,            0.078658,            0.020717,            0.013676,             0.86172,             0.26674,              0.2818,            0.073454,            0.064423,             0.01222,           0.0068314,           0.0095359,           0.0095359,           0.0095359
                   5,            0.073586,            0.020791,            0.013075,             0.81585,              0.2744,             0.26584,            0.069782,            0.061753,            0.013002,           0.0067964,           0.0093813,           0.0093813,           0.0093813
                   6,            0.071326,            0.020415,            0.012471,             0.87529,             0.29439,             0.31304,            0.091769,            0.060825,            0.012294,           0.0064226,           0.0092266,           0.0092266,           0.0092266
                   7,             0.06859,            0.020533,            0.011545,             0.83134,             0.29522,             0.28671,             0.08207,            0.059375,            0.012395,           0.0067995,           0.0090719,           0.0090719,           0.0090719
                   8,            0.066842,            0.020629,            0.011544,             0.85767,             0.31405,             0.29326,            0.079876,            0.059534,            0.012382,           0.0063422,           0.0089172,           0.0089172,           0.0089172
                   9,            0.065611,            0.019967,            0.010995,             0.87631,             0.33543,             0.33461,            0.099852,            0.056122,             0.01225,           0.0060739,           0.0087625,           0.0087625,           0.0087625
                  10,            0.065348,            0.020292,            0.011376,             0.87659,             0.35528,             0.35811,             0.12793,             0.05137,            0.012332,           0.0058027,           0.0086078,           0.0086078,           0.0086078
                  11,            0.063201,            0.019795,            0.010542,             0.89255,             0.33157,             0.34931,             0.11142,            0.054706,            0.012246,            0.005602,           0.0084531,           0.0084531,           0.0084531
                  12,            0.063565,            0.019752,            0.010593,             0.60922,             0.31929,             0.30997,            0.090456,            0.057936,            0.012332,           0.0054106,           0.0082984,           0.0082984,           0.0082984
                  13,            0.061171,            0.019169,           0.0099129,             0.63235,             0.32945,             0.34503,             0.11838,            0.054206,            0.012259,           0.0057194,           0.0081437,           0.0081437,           0.0081437
                  14,            0.061552,            0.019519,            0.010279,             0.88085,               0.334,             0.33742,              0.1043,            0.055405,            0.012567,           0.0056947,           0.0079891,           0.0079891,           0.0079891
                  15,            0.059633,            0.019529,           0.0096174,             0.63539,             0.34889,             0.37981,             0.11815,            0.054273,            0.012527,           0.0056777,           0.0078344,           0.0078344,           0.0078344
                  16,            0.059022,            0.019313,           0.0096326,             0.63888,              0.3425,             0.35214,              0.1059,            0.054452,             0.01238,           0.0053066,           0.0076797,           0.0076797,           0.0076797
                  17,            0.059172,            0.019428,           0.0094689,             0.89466,             0.35058,             0.36127,             0.12317,            0.051794,            0.012146,           0.0054357,            0.007525,            0.007525,            0.007525
                  18,            0.058179,             0.01928,           0.0092909,             0.87199,             0.33237,             0.35885,             0.10733,            0.053764,            0.012225,           0.0058132,           0.0073703,           0.0073703,           0.0073703
                  19,            0.056993,            0.019375,           0.0093338,             0.63655,             0.33785,               0.351,             0.12052,            0.051296,            0.012336,           0.0057041,           0.0072156,           0.0072156,           0.0072156
                  20,            0.056769,            0.019041,           0.0089327,             0.67746,             0.36449,             0.41077,             0.14265,            0.048948,            0.012629,           0.0055228,           0.0070609,           0.0070609,           0.0070609
                  21,            0.055867,            0.019227,           0.0090666,             0.64657,             0.34749,             0.37229,             0.12196,            0.051242,            0.012587,           0.0053462,           0.0069063,           0.0069063,           0.0069063
                  22,            0.055161,            0.019016,            0.008742,             0.63883,             0.36218,             0.37631,             0.12444,            0.051179,            0.012756,           0.0053507,           0.0067516,           0.0067516,           0.0067516
                  23,            0.055403,            0.019076,            0.008857,             0.52731,             0.42073,             0.44134,             0.17656,            0.049091,            0.012837,           0.0056131,           0.0065969,           0.0065969,           0.0065969
                  24,            0.054545,            0.018793,           0.0088126,             0.51687,             0.44051,             0.45878,             0.16824,            0.049186,            0.012161,           0.0053188,           0.0064422,           0.0064422,           0.0064422
                  25,            0.053971,            0.018853,           0.0083561,             0.53124,             0.42213,             0.43699,              0.1561,            0.048512,            0.012492,           0.0050232,           0.0062875,           0.0062875,           0.0062875
                  26,            0.054634,            0.018723,           0.0085304,             0.52496,             0.42621,              0.4649,             0.17188,            0.047539,            0.013145,           0.0054117,           0.0061328,           0.0061328,           0.0061328
                  27,            0.053782,            0.018951,           0.0082725,             0.51007,             0.42631,             0.44648,             0.16221,            0.049583,            0.012107,           0.0051706,           0.0059781,           0.0059781,           0.0059781
                  28,            0.052805,            0.018931,           0.0086552,             0.46395,             0.45367,             0.45535,             0.16919,            0.047303,            0.012367,            0.005883,           0.0058234,           0.0058234,           0.0058234
                  29,            0.052902,            0.018689,           0.0083067,             0.61577,             0.43228,             0.45491,             0.17743,            0.048295,             0.01243,           0.0054836,           0.0056688,           0.0056688,           0.0056688
                  30,            0.052166,            0.018603,           0.0078815,             0.46791,             0.45558,             0.44741,             0.15968,              0.0484,            0.012264,           0.0052226,           0.0055141,           0.0055141,           0.0055141
                  31,            0.051998,            0.018394,            0.007996,             0.55264,             0.43828,             0.46068,             0.17272,            0.046837,            0.012727,           0.0050525,           0.0053594,           0.0053594,           0.0053594
                  32,            0.051464,            0.018715,           0.0079995,             0.52185,             0.47873,             0.49525,             0.17409,            0.048005,            0.012616,           0.0048724,           0.0052047,           0.0052047,           0.0052047
                  33,            0.050183,            0.018508,           0.0074916,             0.50283,             0.48992,             0.49896,             0.18837,            0.046903,            0.012606,            0.004754,             0.00505,             0.00505,             0.00505
                  34,            0.051043,            0.018262,           0.0077546,             0.52269,             0.45084,             0.45897,             0.16959,            0.047071,            0.013113,           0.0051563,           0.0048953,           0.0048953,           0.0048953
                  35,            0.050312,            0.018505,           0.0074298,             0.52771,             0.46337,              0.4727,             0.18102,            0.045996,            0.012213,           0.0053303,           0.0047406,           0.0047406,           0.0047406
                  36,            0.050336,            0.018247,           0.0076514,             0.44679,             0.45413,              0.4105,             0.13875,            0.047693,               0.013,           0.0050113,           0.0045859,           0.0045859,           0.0045859
                  37,            0.049708,            0.018368,           0.0073656,             0.52223,             0.43213,             0.43578,             0.15944,            0.047243,            0.012805,           0.0049694,           0.0044313,           0.0044313,           0.0044313
                  38,            0.050057,            0.017941,            0.007603,             0.55303,             0.44042,             0.44197,             0.15539,            0.046167,            0.013258,           0.0048471,           0.0042766,           0.0042766,           0.0042766
                  39,            0.049395,            0.018181,           0.0072414,              0.5633,             0.50008,             0.49983,             0.17914,            0.047507,            0.012591,           0.0048431,           0.0041219,           0.0041219,           0.0041219
                  40,            0.049314,            0.017774,           0.0072837,             0.59117,             0.48415,             0.51486,             0.19686,            0.045626,            0.013218,           0.0052408,           0.0039672,           0.0039672,           0.0039672
                  41,            0.048334,            0.017722,           0.0067676,             0.46353,             0.50467,             0.47117,               0.178,            0.046958,            0.012296,           0.0051142,           0.0038125,           0.0038125,           0.0038125
                  42,            0.048648,            0.017884,           0.0068509,             0.57178,             0.46846,             0.48071,             0.17548,            0.045457,            0.013101,            0.004978,           0.0036578,           0.0036578,           0.0036578
                  43,            0.048092,            0.017954,           0.0065719,             0.55023,             0.49799,             0.49834,             0.19025,            0.045727,            0.012722,            0.004925,           0.0035031,           0.0035031,           0.0035031
