               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.047615,            0.017816,           0.0067122,             0.49912,             0.44158,             0.43844,             0.16575,            0.046312,            0.012639,           0.0057768,           0.0033484,           0.0033484,           0.0033484
                  45,            0.047644,            0.017889,           0.0066595,             0.46439,             0.43112,             0.40989,             0.15278,            0.046461,            0.013254,           0.0050891,           0.0031938,           0.0031938,           0.0031938
                  46,            0.046951,            0.017625,           0.0062931,               0.582,             0.46217,             0.47855,             0.19069,            0.045086,            0.012507,            0.004955,           0.0030391,           0.0030391,           0.0030391
                  47,            0.047313,            0.017707,           0.0065991,             0.64558,             0.48992,             0.51245,             0.20477,            0.044298,            0.012277,           0.0053675,           0.0028844,           0.0028844,           0.0028844
                  48,            0.046348,             0.01761,            0.006146,             0.54551,             0.50283,             0.50207,             0.20197,            0.044331,            0.012469,           0.0052227,           0.0027297,           0.0027297,           0.0027297
                  49,             0.04584,            0.017429,           0.0065685,             0.59402,             0.49721,             0.51543,             0.19587,            0.045216,            0.012551,           0.0049513,            0.002575,            0.002575,            0.002575
                  50,            0.046304,            0.017763,           0.0061438,             0.64061,             0.49138,             0.53254,             0.22428,            0.043345,            0.012552,           0.0049635,           0.0024203,           0.0024203,           0.0024203
                  51,            0.045112,            0.017464,           0.0061395,             0.61294,             0.50683,             0.54619,              0.2239,            0.043359,            0.012272,           0.0048056,           0.0022656,           0.0022656,           0.0022656
                  52,            0.045048,            0.017138,           0.0057365,             0.64393,              0.4814,             0.50821,             0.20757,            0.043038,             0.01259,           0.0048238,           0.0021109,           0.0021109,           0.0021109
                  53,            0.044047,            0.016968,           0.0054308,             0.57863,             0.48335,               0.512,             0.21678,            0.042325,              0.0129,           0.0049185,           0.0019563,           0.0019563,           0.0019563
                  54,            0.044908,            0.017071,            0.005744,              0.5906,             0.47091,             0.49678,             0.21218,            0.043038,            0.012758,           0.0049816,           0.0018016,           0.0018016,           0.0018016
                  55,            0.044661,            0.017278,           0.0059074,             0.64865,             0.50291,             0.52241,             0.22186,            0.042527,            0.012152,           0.0048899,           0.0016469,           0.0016469,           0.0016469
                  56,            0.043913,            0.017045,           0.0054915,             0.65085,             0.48482,             0.51246,             0.21551,             0.04232,            0.012157,           0.0046683,           0.0014922,           0.0014922,           0.0014922
                  57,            0.044407,             0.01719,           0.0057087,             0.56805,             0.48499,             0.50735,             0.21378,            0.042849,            0.013188,           0.0049708,           0.0013375,           0.0013375,           0.0013375
                  58,            0.043692,            0.017005,           0.0051684,             0.62958,             0.48117,             0.51742,              0.2215,            0.041878,             0.01243,           0.0049928,           0.0011828,           0.0011828,           0.0011828
                  59,            0.044043,              0.0171,           0.0053659,             0.62609,             0.48017,              0.5211,             0.21253,            0.042621,            0.012597,           0.0047717,           0.0010281,           0.0010281,           0.0010281
                  60,            0.043502,            0.016726,           0.0052759,             0.55167,             0.50725,             0.51049,             0.21396,            0.042067,            0.012594,           0.0047213,          0.00087344,          0.00087344,          0.00087344
                  61,            0.043288,            0.016824,            0.004799,             0.58733,             0.52837,             0.54288,             0.22092,            0.042491,            0.012527,           0.0047951,          0.00071875,          0.00071875,          0.00071875
                  62,            0.043351,            0.017105,           0.0050059,              0.6104,             0.49062,             0.52374,             0.21244,            0.041992,            0.012767,           0.0046361,          0.00056406,          0.00056406,          0.00056406
                  63,            0.042648,            0.016942,           0.0050007,             0.59098,             0.47495,             0.50531,              0.2132,            0.041695,            0.012782,           0.0048988,          0.00040938,          0.00040938,          0.00040938
