               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13267,            0.020971,            0.036621,             0.55541,             0.13632,            0.042607,           0.0093393,            0.090238,            0.012611,            0.024117,            0.070038,           0.0033291,           0.0033291
                   1,             0.10196,             0.02116,            0.030933,             0.68083,             0.19652,             0.12721,            0.033008,            0.078679,            0.012975,             0.02089,            0.040012,           0.0066365,           0.0066365
                   2,            0.097715,            0.020827,            0.024103,              0.7051,              0.1679,              0.1289,            0.030559,            0.082952,            0.011934,            0.010766,           0.0099602,           0.0099178,           0.0099178
                   3,            0.090916,            0.020717,            0.015899,             0.83413,             0.28618,             0.28799,            0.088183,            0.067511,            0.012421,           0.0084375,           0.0098831,           0.0098831,           0.0098831
                   4,            0.083697,             0.01999,            0.014212,             0.84382,             0.26078,             0.26269,            0.083897,            0.068161,            0.012131,           0.0074269,           0.0098831,           0.0098831,           0.0098831
                   5,            0.079495,             0.02001,            0.013523,             0.85428,             0.29443,             0.29812,            0.086814,            0.066372,            0.012225,           0.0071925,           0.0098441,           0.0098441,           0.0098441
                   6,            0.076662,            0.020362,            0.012494,             0.84503,             0.28923,             0.29489,            0.085553,            0.064663,            0.012477,           0.0068836,           0.0098051,           0.0098051,           0.0098051
                   7,            0.073707,             0.02049,             0.01262,             0.85478,             0.29632,             0.28806,            0.087446,            0.065018,            0.012594,           0.0067775,           0.0097661,           0.0097661,           0.0097661
                   8,             0.07127,            0.019606,            0.011874,              0.8753,             0.33645,             0.33588,            0.099426,            0.058635,            0.012726,           0.0067171,           0.0097272,           0.0097272,           0.0097272
                   9,            0.070723,            0.020174,            0.011172,             0.90017,              0.3537,             0.36926,             0.13067,            0.055589,            0.012711,           0.0068232,           0.0096882,           0.0096882,           0.0096882
                  10,             0.06839,            0.020124,            0.011194,             0.88919,             0.31002,             0.32568,             0.10008,            0.059423,            0.012582,           0.0061218,           0.0096492,           0.0096492,           0.0096492
                  11,            0.067884,            0.020012,            0.010606,             0.91912,             0.35504,             0.36608,             0.11822,            0.056583,            0.012083,           0.0063839,           0.0096102,           0.0096102,           0.0096102
                  12,            0.067138,            0.019252,            0.010588,             0.89498,             0.32861,             0.33226,             0.10834,            0.058534,            0.012881,           0.0059565,           0.0095713,           0.0095713,           0.0095713
